וגם: עובדי בית ההשקעות אנליסט יבלו חופשה מרוכזת בפראג, אלי הורביץ מתארח ביקב דלתון ואיזה מנכ לים השתתפו בתחרות איש הברזל שנערכה בסופ ש באילת?	0
"החקירות שעלולות להוביל לכתב אישום, העיתונאים שיוצאים נגדו בגלוי, חברי הדירקטוריון שמבקשים להדיח אותו והחוב האישי לבנק שיכריע את גורלו ■ נוני מוזס, בעל השליטה ב""ידיעות אחרונות"", נמצא תחת מתקפה נרחבת ■ האם היא תוביל לסיום שלטונו בעיתון?"	1
נבחרת מזחלות השלג של ג&#39;מייקה מתכוננת לאולימפיאדת חורף נוספת. הנבחרת תלויה בגיוס כספים דרך PayPal	2
על פי נתוני מועצת הכבלים והלוויין 3,544 תלונות התקבלו ב-2014 כלפי חברת  HOT, עלייה משמעותית לעומת 2,117 תלונות שהתקבלו ב-2013; 551 תלונות התקבלו נגד yes ב-2014 - ירידה לעומת 605 תלונות שהתקבלו ב-2013	1
"החשש מפגיעה בתחרות בעקבות ביטול ההפרדה המבנית בבזק הוביל את רשות התחרות להצעה מקורית: במקום להפריד בין החברה האם לחברות הבנות — לבצע הפרדה מסוג חדש, בין הפעילות האקטיבית לבין התשתיות הפסיביות שמשמשות את המתחרים ■ הרשות: ""אין החלטה או המלצה"""	1
לאחר הליך חתימה רווי מאבקים, ממשיכה במקביל HOT לנהל הליך לבחינה מחודשת של תחום ערוצי הילדים, ופונה לחברות בשוק להגיש הצעות לערוצים חדשים	1
ג&#39;יאמי בן ה-45, משמש כסמנכ ל התפעול של קבוצת אלטיס, החברה-האם של HOT שבשליטת פטריק דרהי. ג&#39;יאמי מתגורר לסירוגין בישראל ובז&#39;נבה 	2
ערוץ הטלוויזיה החדש i24news‏ צפוי לעלות לשידור היום ב-20:00 בו זמנית בעשרות מדינות ברחבי העולם ■ המיזם של פטריק דרהי, בעל השליטה ב-HOT, יכלול שלושה ערוצי חדשות - באנגלית, צרפתית וערבית	0
איך הופכים עובדים קבועים לעובדי קבלן בלי להתבלבל? מפעילים את מכבסת המלים וקוראים לזה שינוי מסלול	1
רה מ ושר הבריאות בנימין נתניהו ושר האוצר משה כחלון אישרו לקופה לרכוש 37% מהרשת; בכך תיישר קו עם מתחרותיה ותחזיק ברשת מרכזים רפואיים משלה	0
וגם: גזי קפלן מנגב חומוס ביפו, במשרד האוצר חוזרים לאכול טוב בפלאפון ממחזרים ודרור קשטן קיבל רכב חדש משלמה שמלצר 	0
הכנס של תעשיית הפרסום הדיגיטלי באירופה - שהתמקד בשני מנועי הצמיחה העיקריים של הדיגיטל בשנים האחרונות, מובייל ווידאו - אירח דוברים של החברות המובילות בתחום וביניהן פייסבוק, גוגל Teads, Freewheel ועוד ■ באופן מפתיע השתתפו בו גם לא מעט ישראלים	0
דרהי, בעל השליטה ב-HOT הישראלית, הנפיק את עסקי הכבלים שלו בארה ב וגייס 1.9 מיליארד דולר. המניות פתחו את המסחר בעליות, כאשר מחיר ההנפקה עמד על 30 דולר למניה	0
