אמסלם מתחיל לעבוד למען החברים: קידום הערוצים שמזוהים עם הימין - 20 ו-i24	1
אלטיס נכנסת לתחרות מול אמזון: משיקה שלט רחוק קולי	0
לא תרבות ולא תוכן, מקדם המכירות של HOT ו-yes הוא כוח	1
ירידה של 14% בהכנסות HOT משוק הכבלים	1
תחזית HOT לרבעון השני: ירידה קלה בהכנסות, נסיגה ב-EBITDA	1
פטריק דרהי	2
איש העסקים הישראלי-צרפתי פטריק דרהי רוכש את סותבי'ס תמורת 37 מיליארד	2
תיק 4000 ממשיך להתפורר: העיתונאי אלי ציפורי חושף מסמך משמעותי	2
איתות לגבעת הקפיטול? דרהי מרחיב את הסיקור התקשורתי בארה"ב	0
הוט שומרת ברבעון השני על רמת הכנסות דומה לרבעון הראשון	0
אמסלם עשה סיבוב על הפריפריה עם הטבה ל־HOT	1
דיווח: אלטיס רוצה למכור את האחזקות בישראל; HOT מכחישה	2
חייבים להעלות את מחירי הסלולר? שש סיבות לאופטימיות בשוק התקשורת	0
מוויסקי ועד אקדחים: 11 העסקים העתיקים ביותר בעולם שעדיין פועלים	0
מתעניינת חדשה ברכישת אתר וואלה: קבוצת התקשורת הוט	0
HOT בוחנת הכנסת שותף אסטרטגי לפריסת תשתית הסיבים האופטיים בישראל	0
HOT מנסה למכור את השליטה בהוט טלקום – בתנאי לשדרוג הרשת	0
התרגילים של פטריק דרהי, בעל השליטה בחברת הוט	1
ערוץ i24 news יעלה לשידור לראשונה בארץ	0
דרהי מצא שותף אסטרטגי? פרטנר במגעים להשקעה נרחבת בהוט	0
אלטיס של פטריק דרהי מתפצלת; המניה מתרסקת במסחר באמסטרדם	1
האיש העשיר בישראל מפצל את אימפריית הטלקום והכבלים הבינלאומית שלו	2
המיליארדר פטריק דרהי הוא כבר לא האיש העשיר ביותר בישראל	2
"כולם, גם בישראל, כתבו שהוא האיש עם מגע הקסם"	0
האם "גוף בינלאומי ענקי" באמת רוצה להקים ערוץ טלוויזיה בישראל?	1
פטריק דרהי מנסה לכבוש את הטלוויזיה האמריקאית	0
אחותו של כחלון מחלקת את כספי פטריק דרהי	1
תביעה ב־117 מיליון שקל נגד פטריק דרהי על תרמית נדל"ן	1
הרגע שבו המיליארדר הישראלי מהוליווד לא חש גועל מבני הזוג נתניהו	1
9000 מנויים עזבו את שירותי הטלוויזיה והאינטרנט של הוט ברבעון השלישי	1
סרט טבע בגרסת פטריק דרהי: המוטו של האיש העשיר בישראל	2
למרות החשאיות: אייס עם חלק מנתוני הצפייה של i24NEWS	2
עסקי התקשורת של דרהי: אלטיס USA נפרדה מחברת-האם	1
כשל בתקשורת: מדוע התרסקה מניית אלטיס של דרהי ב-22%?	1
פטריק דרהי השלים את הנפקת הטלקום הגדולה ביותר בארה"ב זה 17 שנים	0
הבעלים של HOT, פטריק דרהי, הפסיד היום מיליארד דולר	1
אלטיס USA של פטריק דרהי, בעלי הוט, תגייס השבוע 350 מ' ד'	0
ניו יורק טיימס מתפעל מהבעלים של הוט: שווה 17 מיליארד דולר ועדיין קובע פגישות	0
האנשים הכי עשירים בישראל	0
פטריק דרהי, הבעלים של HOT, במו"מ לרכישת "ידיעות אחרונות"	0
פטריק דרהי נחוש: ממזג חברות כדי להתכונן לרכישות גדולות	0
אלטיס, בעלת HOT הישראלית, נקנסה ב־1245 מיליון יורו בשל עבירה על חוקי	1
סגירה חיובית בוול-סטריט: פייסבוק זינקה ביותר מ-4%; לופטנזה צנחה 11% וגררה	0
ארה"ב: אלטיס של פטריק דרהי רכשה 70% מחב' הכבלים סדנלינק קומיוניקיישנס	2
אלטיס של דרהי מתכוונת להשתלט על SFR ולמחוק אותה מהמסחר בפריז	2
האיש העשיר בישראל: פטריק דרהי	0
"עובדה": HOT שכרה את בלאק קיוב - שתיכננה לשלוח נערת פיתוי לגיא לרר	1
פטריק דרהי מתכנן עסקת ענק וחושף את שווי הערוץ i24	0
פטריק דרהי: לא מרוויח שקל מ-i24News	1
